,text,type
15923,"Пусть у всех пользователей и каналов отображается точное кол-во просмотров под каждым видео. Чтобы любой  зритель мог видеть. А не только хозяин канала. А то на данный момент у вас отображается только, когда видео набирает как минимум несколько десятков тысяч или сотню тысяч просмотров. Неужели у вас сейчас такая маленькая аудитория на платформе? У меня иногда создаётся впечатление, что здесь по-настоящему смотрят только Федеральные каналы, ТВ Шоу, события связанные с СВО, а всё остальное людей здесь интересует в меньшей степени. Нет культуры подписки у вас на платформе. Не хотят подписываться. Видеоигровое направление вообще очень тухло идёт, если ты индивидуальный геймер, а не известная журналистская редакция. Похоже, что все, кого интересуют западные игры, в основном по-прежнему торчат на западной Ютубе. Я продолжу снимать контент для вашей платформы, но рекомендации для зрителя вам по-прежнему надо развивать. Они далеки от Гугловских.",1
5004,всё,0
12753,"Китайские аниме в дубляже, ролики о играх, кино, новости.",2
2385,Быстро,3
10021,реклама заебала,1
2237,быстро,3
9853,dcct,0
4570,Godd,0
1467,Питание,0
11195,ничего,2
16298,просто,3
5948,"Убрать подписку для проживающих за рубежом русских, чтобы мы могли смотреть русские фильмы и программы
",1
6397,"СДЕЛАЙТЕ КАК НА ЮТУБЕ ОФОРМЛЕНИЕ , НУ НЕ ПОЛУЧАЕТСЯ У ВАС , ПОДГЛЯДИТЕ У ДРУГИХ",1
6111,"2 серия где? Списки мама ебаные где, чтоб за серией серия. Сука ебаный рутуб, ни хуя не удобно, пидарасы. ",1
12883,загрузку,0
11626,сделайте пожалуйста постоянным ключ потока и ссылку,1
13556,very good,0
11984,"Татьяна Монтян и её стримы, но их почему-то нет на rutube.  Нравится: новости, место встречи.",1
16118,"Очень неудобно загружать, только максимум по 5 шт. Нельзя, просто, менять порядок роликов ",1
12713,Не то что понравилось но вы стали лучше...скоро полностью с ютюба к вам переберусь,1
15147,Нельзя управлять историей просмотров,1
4037,все отлично,3
7215,Чтобы новые сериалы были,2
16239,Хотелось бы иметь возможность заносить в плейлист видео в момент его загрузки,2
5630,"Видео периодически останавливается, чтобы пошло дальше, надо нажать на экран. Это мешает. И дело не в устройстве и не в интернете, это лаг рутуба.",1
14577,аналитика,0
14310,"СИЛА СВЕТА И ИСКРЕННОСТИ
ДУШИ ЧЕЛОВЕКА !!!",0
3802,быстро и четко,3
15784,"в настоящее время после стабилизации канала стало все удобно, ранее качество было плохое.",3
10967,медленная скорость загрузки,1
4345,супер,3
8053,было бы круто если результаты поиска были отфильтрованными сразу по дате,2
2850,скорость,0
12717,мужское женское,0
5961,Всё,0
10451,Иногда видео совсем невозможно смотреть. Не грузятся,1
3920,"Спасибо,за хороший Совет.",3
14598,Мне очень нравится,3
3199,"Sto imam veliku cast i postovanje prema RUSIJI.
",0
7153,хотела посмотреть последнюю серию мосгаз,2
12160,Реклама короткая ),3
13642,Очень прикольно 😀 ,3
1418,у меня нет опыта,2
6654,Нету,0
2869,Скорость и доступность ,3
13184,всё устраивает,2
6605,Видео не загружается,1
15937,Интуитивно все понятно,3
13661,"История от древних укров, часть 1 - Это кринж.",1
519,убрать нахрен эту всплывашку,1
10999,рекомендации ,0
5808,не могу найти нужный сезон и серию битвы экстрасенсов ,1
10371,убрать рекламу,1
8293,"То,что на вашей платформе всё ,что необходимо найти всё есть.Спасибо Вам, за ваш труд.",3
9396,Выкидывает ,1
13944,"Ничего нельзя найти, всё тупит,к тому же.",1
8700,Всё хорошо!,3
7840,I don&#039;t know,0
7827,"Пишешь конкретную серию, выхолят все в подряд ",1
2651,Очень быстро и всё понятно,3
2705,Без заморочек с паролей,3
13265,Понятный и простой не перегруженный интерфейс,3
7932,всплывающую клавиатуру в строке набора,2
7666,хреновый поиск,1
12419,vse!,0
9593,Нет полноценной возможности работать как автору,1
8208,Не нашла многие сезоны,1
7766,Скорость,0
15598,Привет,0
16474,Отлично,3
2293,"ВСЕ
",0
1530,Не стабильно работает captcha,1
5507,все,0
7557,Предпоказ по наведению курсора,2
5156,Количество роликов можно увеличить,1
8168,Всё,0
6219,хуйня,1
1878,Оперативность,0
10178,"видео тормазит
",1
14790,круто,3
4537,Быстро входа !,3
10182,Постоянно реклама ,1
5418,ЗВУК,0
1791,Легко и быстро ,3
11259,В приложении LG постоянно слетает авторизация,1
1874,Быстро и просто,3
15898,"Хотелось бы перейти на подробную статистику по определённому видео так, чтобы, например, отслеживать по суткам сколько оно набирает просмотров, а не целиком весь канал или же краткая статистика в разделе Аналитика=>Видео ",1
16205,добавить варианты поделится в студию,1
8617,Круто,3
3584,Great ,0
2311,Быстро,3
7690,ничего,2
11655,Битва сильнейший ,0
6525,выдавать то что искал!,1
4497,Быстро. Спасибо.,3
9888,порой криво работает,1
7395,говно ,1
1955,Скорость,0
539,всё хорошо,3
2228,Быстро,3
548,Всё ништяк,3
7258,Всё. Необходимое не нашлось ,1
16340,отлично,3
13085,атмосфера,0
2560,Всё просто.,3
4879,"МКДОУ ДЕТСКИЙ САД ""СВЕТЛЯЧОК ""
РЕСПУБЛИКА ДАГЕСТАН  ХАСАВЮРТОВСКИЙ РАЙОН С.ЭНДИРЕЙ 
",0
5306,реклама,0
14103,разнообразие каналов,2
768,Great 👍✅,0
11927,хочу чтоб это стало лучше ютуба!!! россия вперед!!!,2
14735,содержание,0
12453,Vse,0
15778,все,0
13677,"Sex
",0
8039,попробуйте выбирать более новый контент.,1
1688,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥😎💘💓💜❤️😎💘💜👻👻👻👻👻😻👻👻😻😻,3
12101,политраша,0
16455,стало видео быстрее загружаться,3
4505,все отлично,3
7818,поиск,0
12656,"СМОТРЮ ИЗ ГЕРМАНИИ,ОТЛИЧНОЕ КАЧЕСТВО ЗАПИСИ,СПАСИБО.",3
4708,"быстро
",3
15570,"не предлагать приложение

",1
11261,рекомендации и главную страницу.,2
2595,Хорошо,3
11034,"если не ошибаюсь, то оптимизация, очень плохая, именно из за плохого интернета. как Соболев сказал. делаем оптимизацию, чтоб прогружались видео в 720 невозможно смотреть, не говорю уж про другое качество. спасибо, и извините за орфографию я троешник)))) ",1
1891,"Отлично
",3
2229,Очень быстро. ,3
6182,Говно,1
3723,جيد,0
16335,супер,3
7108,Показывает по 1 минуте а минимум должно 50 минут ,1
13399,S,0
3216,скорость и простота,3
9140,не дает показы на видео,1
14580,класс,3
8258,Скорость,0
1253,Всё хорошо,3
8518,Happy,0
11038,рекомендации. мои рекомендации вообще не по мне,1
11424,"качество изображения хорошее .минимум рекламы-
 это очень важно .",3
16556,всё хорошо,3
307,Можно сделать проще,1
2587,Задавать несколько раз код.,2
7087,нету большого побега,1
7750,Все будет хорошо ,2
2522,Всё,0
2922,Оперативность,0
15663,Кирилл ,0
1476,что то наверное не знаю,2
6478,Поиск невменяемый,1
15018,Нет новостей про спец операцию и нет новостей по отношениям с западом,1
15648,Всё,0
9174,возможность добавлять видео сразу в плейлисты при загрузке,2
10125,"Скорость загрузки
",2
6764,Давай по новой Миша все хуйня,1
7977,тадам,0
10954,"Удобство пользования
",3
8401,ВСЁ!!!,0
2443,все,0
1415,"регистрация понятная, пожалуй отлично, а не хорошо.
Поначалу долго думала, где написать комментарий, пока не поняла, что надо сначала зарегистрироваться. А регистрация прошла очень быстро и без проблем.",3
16029,Долго,1
1838,песня,0
2697,Cpacibo,0
1973,Быстро ,3
10211,"bolishe, bolishe,shire, lucshe !!!!
 i vse polucitsia :)",0
6783,"Здравствуйте!Можете добавить не анонсы,а полноценные серии.",1
15303,все,0
12888,Блять я загружаю 30 сек видео почти час!,1
8732,Всё ,0
14273,Всё,0
4522,Тормозите процесс просмотра!,1
3898,Быстро и просто!,3
6718,Вообще нет фильмов ! Одни трейлеры ужас !!!!,1
8119,Добавить возможность создать очередь в проигрывателе и возможность менять очередность. ,1
10330,постоянно зависает,1
16144,Тэги!!!,0
850,немного тормозит,1
14483,Работает.,3
